taskSize,taskType,priority,resourceLoad,actualTime
1,2,1,35.33,1.383
2,1,2,10.86,2.629
1,2,3,18.39,0.968
1,3,2,30.4,0.787
1,1,3,6.84,0.464
1,1,1,26.6,0.749
2,2,1,35.76,9.706
2,1,1,18.98,2.405
1,1,4,53.99,0.372
1,1,1,23.26,0.865
1,3,3,3.3,0.731
2,2,1,26.86,5.057
1,3,2,23.1,1.066
2,3,1,29.96,4.934
2,2,2,47.7,8.721
2,1,4,18.4,2.447
1,1,2,56.35,0.998
1,2,5,25.93,0.444
1,2,1,18.33,1.172
2,1,2,12.64,2.555
2,2,1,27.56,5.402
1,1,1,58.36,0.968
1,2,2,46.86,0.929
1,1,1,40.57,1.1
1,2,2,25.89,0.749
2,2,1,49.82,9.61
1,3,2,44.73,0.843
3,1,2,12.28,15.185
1,1,1,40.72,1.815
2,1,2,32.35,2.803
1,2,5,2.45,0.671
2,1,2,65.04,9.597
2,3,1,21.99,5.186
1,1,1,18.96,0.689
1,1,3,45.82,1.05
3,1,1,63.88,31.884
2,1,1,12.55,3.675
1,2,1,33.23,1.772
2,3,1,9.63,5.785
1,2,3,36.27,1.032
1,3,3,7.19,0.513
2,1,4,22.19,2.23
3,1,2,27.2,15.212
1,3,1,50.46,1.546
1,1,1,30.76,0.956
1,2,1,28.82,1.456
2,3,1,14.33,4.968
2,2,4,46.62,4.426
3,1,2,44.69,16.956
1,1,1,8.91,0.99
1,3,2,31.35,0.693
1,1,2,12.43,0.632
1,1,5,17.83,0.46
1,1,3,13.56,0.616
1,1,2,38.1,0.711
2,1,5,40.0,2.052
2,2,1,31.75,11.009
2,1,1,29.45,3.837
1,2,2,42.99,0.707
2,3,4,42.3,4.082
1,1,1,31.26,0.52
1,2,5,52.87,1.417
2,1,2,29.08,2.336
2,1,2,26.94,3.492
1,1,1,26.96,0.515
2,2,2,30.06,5.277
1,3,1,48.6,1.616
2,2,2,26.12,8.319
2,1,3,13.68,2.337
2,3,4,14.21,2.98
1,1,2,11.45,0.568
1,2,1,10.91,1.692
1,1,2,16.93,1.009
2,3,1,43.3,4.016
3,3,4,26.9,19.256
2,2,2,21.08,4.168
2,1,2,17.26,2.677
2,1,1,33.47,4.494
2,1,2,47.86,4.015
1,1,1,5.81,0.741
1,2,3,68.18,2.147
1,1,2,5.18,0.606
1,2,3,46.76,1.614
1,1,1,6.13,0.745
3,2,4,16.46,19.404
2,2,2,23.19,5.085
2,1,1,45.46,5.505
2,2,1,36.57,7.163
2,1,2,25.23,3.14
2,1,1,4.29,3.778
1,2,2,19.36,1.058
2,1,1,33.81,3.486
1,1,4,16.03,0.497
2,1,5,32.7,1.99
1,1,1,38.47,0.918
1,1,1,60.49,1.179
1,2,1,44.79,2.277
2,2,4,33.02,3.289
2,1,1,25.89,3.941
1,1,1,53.27,0.802
1,3,4,58.64,0.809
3,3,1,55.06,39.61
1,1,3,10.37,0.607
2,3,4,3.9,3.345
2,3,2,35.05,4.903
2,1,1,18.61,2.523
1,1,3,40.99,0.576
2,1,1,23.6,6.118
3,1,2,39.68,15.153
1,2,1,2.01,1.158
2,2,5,27.65,3.38
1,1,2,8.42,0.432
3,2,4,21.94,15.077
1,1,2,20.9,0.486
1,1,2,18.68,0.687
1,1,2,25.13,0.892
3,1,2,33.58,16.067
1,2,2,48.55,1.498
1,1,3,12.74,0.315
1,3,3,17.93,0.453
2,3,3,35.15,2.549
1,1,2,8.24,0.588
2,3,1,23.09,3.419
2,2,5,26.99,3.348
2,1,1,27.36,3.013
2,1,4,4.21,1.893
2,2,1,18.2,4.536
1,3,3,34.47,0.59
1,1,5,43.99,0.36
1,3,2,20.28,0.921
1,2,1,7.82,1.51
1,1,1,20.7,0.69
1,1,3,62.0,0.54
3,1,1,15.16,13.299
3,2,4,26.42,22.745
1,1,2,38.07,0.902
2,1,2,35.2,4.216
2,1,1,11.19,2.24
3,3,1,13.03,18.898
1,1,1,24.62,0.651
2,1,5,35.25,2.998
1,1,4,14.64,0.508
1,2,4,14.93,0.824
2,1,3,18.72,1.601
1,2,5,66.42,2.053
1,1,1,25.11,0.477
2,3,5,11.75,2.361
1,2,4,66.94,1.707
1,3,1,38.69,0.726
1,1,2,16.95,0.604
2,1,3,22.51,2.715
2,2,3,21.18,7.244
3,2,2,51.33,31.562
1,3,2,13.91,0.73
1,1,1,23.46,1.113
1,2,2,27.17,1.069
1,2,5,12.19,0.391
1,3,3,48.69,0.99
3,3,3,29.93,19.554
1,1,2,58.48,0.526
1,1,2,7.55,0.518
2,2,2,29.18,5.328
2,2,1,35.67,10.168
2,3,3,21.06,2.718
1,1,3,23.21,0.28
1,2,2,25.35,1.191
1,3,1,32.88,1.128
1,1,1,23.41,0.405
1,1,1,52.62,0.923
2,1,3,37.52,2.851
1,1,1,27.66,0.789
1,1,3,4.93,0.504
1,2,1,36.08,1.197
2,2,1,4.11,4.776
1,1,2,32.7,0.649
1,1,2,19.88,0.51
2,1,1,22.56,1.674
1,2,2,6.07,1.293
2,1,3,16.58,3.869
1,1,4,2.2,0.398
2,1,2,31.33,2.177
1,1,5,15.47,0.409
1,3,2,16.6,0.762
1,1,1,29.5,0.813
2,1,3,21.95,1.701
1,1,4,34.97,0.567
2,3,2,13.27,4.064
1,2,2,8.54,0.558
2,2,2,5.02,7.475
1,2,3,31.92,0.859
1,2,1,18.63,1.279
2,3,4,45.26,5.178
1,1,2,55.05,1.699
3,1,1,10.63,23.24
3,2,2,42.59,41.497
1,2,5,9.21,0.721
3,3,3,40.28,12.103
1,2,1,29.49,1.077
2,2,1,25.17,7.503
2,1,2,51.71,3.237
1,3,1,47.1,1.663
1,1,2,46.93,1.061
2,2,4,37.36,3.456
1,1,4,40.6,0.436
1,2,1,34.0,1.891
2,1,2,24.88,1.569
1,1,3,59.91,0.961
1,1,1,35.43,0.924
3,2,1,12.67,27.016
2,2,3,67.48,18.008
2,2,2,26.68,3.722
1,1,1,59.32,1.047
3,1,1,24.19,24.812
1,3,3,38.41,1.046
1,1,2,16.42,0.625
1,1,1,12.79,0.762
2,1,3,54.08,3.868
1,1,1,35.58,0.956
1,3,2,12.97,0.911
1,3,1,6.97,0.956
2,1,3,49.38,3.846
1,1,1,33.01,0.691
2,2,1,40.53,4.575
1,3,2,15.2,0.673
1,2,3,45.66,1.62
1,1,1,10.74,0.883
3,1,4,8.06,7.91
2,3,2,32.51,3.939
1,1,1,9.1,0.619
1,1,1,24.99,0.432
1,3,1,60.0,2.321
1,2,1,39.34,1.163
2,2,3,52.99,9.743
1,1,1,37.05,0.627
3,2,1,17.95,24.397
1,2,1,15.91,1.309
1,1,2,22.1,0.641
1,2,2,46.02,2.782
1,3,2,61.51,1.174
2,3,2,31.85,3.577
1,1,1,29.79,0.724
2,1,3,60.1,3.328
1,2,2,20.0,0.957
1,2,2,9.09,0.799
1,3,1,17.31,0.577
1,2,2,30.83,0.802
1,2,4,22.96,0.727
1,2,3,30.32,1.072
3,1,1,62.8,46.694
2,1,1,31.91,2.986
1,2,5,24.4,0.66
2,2,4,8.61,3.369
1,1,1,29.15,0.675
2,1,4,21.97,2.143
3,1,5,15.58,8.493
1,1,4,17.61,0.523
3,1,3,14.15,10.552
1,2,1,6.21,1.032
1,2,1,13.91,1.889
2,3,2,43.03,4.415
2,1,2,18.73,3.707
1,3,1,16.39,0.601
1,1,1,13.9,0.524
1,2,1,26.65,1.774
1,1,1,32.48,1.03
1,1,2,21.37,0.513
1,1,2,51.88,0.768
3,1,5,3.75,6.615
2,1,1,44.1,5.891
3,1,2,53.55,31.87
1,3,1,36.61,0.797
1,3,3,32.94,0.678
1,1,1,29.45,0.71
2,1,4,21.05,1.653
2,1,1,38.98,3.296
1,3,1,22.77,0.813
2,2,4,14.45,3.308
1,3,4,65.69,1.011
1,1,1,19.52,0.812
1,2,1,12.93,2.155
1,1,5,10.32,0.319
1,1,2,36.06,0.628
3,2,2,10.89,18.585
1,2,2,27.56,0.857
1,3,1,14.04,0.779
1,2,1,17.58,1.742
1,1,1,45.95,1.025
3,2,3,14.02,22.644
2,1,1,18.99,3.436
1,2,3,16.09,0.842
3,1,2,30.93,11.785
1,1,1,31.59,1.268
2,1,4,18.08,2.256
1,2,1,0.97,1.286
2,2,2,27.16,3.595
3,1,1,51.91,17.23
1,1,4,9.02,0.509
1,1,1,67.08,1.334
1,3,1,26.89,0.816
1,3,4,64.55,1.696
1,1,3,23.35,0.366
1,3,3,23.21,0.453
1,1,5,11.9,0.583
1,1,1,0.64,0.765
3,2,1,59.76,62.51
1,3,1,38.31,0.896
1,1,2,53.52,1.653
1,2,2,6.16,1.088
3,1,2,41.47,15.047
1,1,1,27.64,0.437
1,2,4,36.81,0.697
1,1,2,28.86,0.443
1,2,1,12.16,0.939
3,1,1,8.63,15.517
1,2,2,52.88,1.243
1,2,2,41.81,1.104
1,1,2,44.72,1.089
1,1,2,26.49,0.739
1,1,4,25.27,0.279
1,1,3,28.86,0.747
2,1,2,11.19,1.987
1,2,4,17.22,0.554
1,1,4,54.61,0.34
1,3,3,21.88,0.72
2,3,1,33.86,6.119
1,2,1,38.42,1.323
2,3,1,31.84,5.966
2,3,1,65.91,7.054
3,2,5,24.01,17.957
1,1,2,4.62,0.519
3,3,1,12.01,18.838
2,1,2,36.33,3.121
2,1,2,21.75,4.678
1,2,2,22.41,0.902
1,1,2,33.55,1.127
1,1,2,21.14,0.821
2,2,4,12.91,3.642
3,1,4,2.3,6.479
1,3,3,29.64,0.888
3,3,1,14.91,27.672
1,2,5,6.96,0.431
3,1,3,3.06,10.753
1,1,3,38.23,0.454
2,2,2,81.73,7.875
1,1,2,55.82,1.27
3,1,3,43.78,13.706
1,1,1,32.36,1.233
1,2,2,28.35,1.432
2,3,2,22.18,3.227
1,3,1,27.42,0.785
1,1,4,29.2,0.238
1,1,2,33.78,0.995
2,2,3,42.42,7.032
3,1,3,55.6,14.541
1,1,2,25.28,0.646
2,2,3,58.42,5.425
1,1,4,56.32,0.602
2,1,5,50.63,2.45
1,1,3,2.55,0.577
1,1,2,12.84,0.636
1,1,2,9.41,0.547
1,3,2,26.87,0.866
2,3,1,17.23,3.579
1,2,1,13.4,1.066
3,1,5,42.91,8.317
2,1,5,24.89,1.638
2,2,1,7.98,6.905
2,1,2,48.07,5.009
3,1,2,32.31,13.293
2,2,1,3.2,5.037
2,1,4,31.65,3.116
1,3,1,46.17,1.211
2,1,3,25.02,2.944
2,1,5,29.9,2.158
1,2,3,66.14,1.386
1,2,1,26.86,1.36
1,2,1,15.4,1.103
2,1,3,16.89,2.857
2,2,1,7.84,7.279
1,2,3,28.26,0.928
1,3,4,35.33,0.914
3,1,3,35.78,15.783
1,1,4,38.36,0.505
2,1,5,39.34,2.003
1,2,4,18.24,0.84
1,1,2,20.67,0.582
1,3,1,50.16,0.756
1,1,1,37.68,0.68
1,1,1,30.74,0.687
1,1,1,21.22,0.73
2,1,3,45.39,4.204
3,3,1,41.06,32.261
2,2,5,14.52,4.179
1,1,2,42.63,0.676
1,3,1,28.01,1.065
1,2,2,42.15,0.837
2,2,1,24.08,5.111
1,1,1,11.35,0.812
2,3,2,33.89,5.184
2,2,2,6.15,3.558
1,1,3,33.81,0.721
1,1,1,51.87,2.569
2,1,2,52.36,5.041
2,1,2,31.83,2.296
1,1,2,32.95,0.654
2,1,4,23.64,1.933
1,3,4,68.61,2.461
3,2,2,52.07,46.541
1,2,1,19.19,1.876
2,1,4,18.58,2.137
1,1,1,38.47,1.404
3,1,3,32.66,9.945
2,3,3,20.65,3.104
1,2,1,55.57,1.192
1,1,3,49.86,0.612
1,1,1,17.82,1.108
2,1,4,14.71,2.718
2,1,3,27.66,4.589
1,2,2,31.45,1.776
1,1,1,8.99,0.892
2,1,4,54.97,4.174
2,2,4,28.62,5.988
1,1,5,25.52,0.418
2,1,4,14.82,2.823
1,3,2,63.93,1.386
1,3,4,19.42,0.673
3,3,2,37.05,16.239
2,1,3,13.38,2.647
1,3,1,58.53,1.541
1,1,3,23.0,0.654
1,1,1,16.94,0.681
1,1,1,18.06,0.597
3,1,1,12.91,17.656
1,1,1,45.35,1.38
1,1,1,48.12,0.902
2,1,2,12.64,2.745
1,1,3,26.09,0.513
1,1,3,19.03,0.499
2,1,1,37.08,3.068
1,3,1,40.73,1.227
1,1,2,12.71,0.865
1,3,2,34.77,1.028
3,3,1,25.27,30.61
2,2,1,25.44,6.576
1,1,2,8.1,0.503
1,1,1,22.71,0.64
2,3,4,52.95,2.669
1,3,1,29.12,0.981
1,2,1,30.74,1.427
1,3,3,7.06,0.806
1,2,1,41.86,2.199
3,2,1,5.49,25.847
1,1,1,12.52,0.693
1,1,1,14.21,0.79
2,1,1,46.69,6.765
2,2,1,20.96,7.368
1,1,4,11.76,0.364
2,2,4,15.66,2.918
2,1,5,8.82,1.839
1,1,4,8.1,0.388
2,3,4,8.62,2.495
2,1,2,12.14,2.815
1,1,3,20.38,0.581
3,2,1,34.01,24.518
3,1,1,30.35,19.509
1,1,1,33.57,1.16
1,1,3,9.45,0.596
3,3,2,41.04,29.079
1,2,2,10.16,0.972
1,3,3,21.46,0.782
2,1,1,29.34,4.589
2,2,1,31.61,12.86
1,1,3,8.6,0.455
1,1,2,35.82,0.808
2,2,4,45.52,7.487
3,3,2,38.25,14.575
1,3,1,17.46,1.282
1,3,3,26.11,0.461
1,3,1,19.78,0.698
1,3,2,2.84,0.741
1,1,2,26.72,0.585
2,1,3,3.79,4.151
1,1,4,16.48,0.289
2,1,1,19.68,5.618
2,3,3,42.45,5.399
2,1,3,52.92,5.323
1,1,3,76.72,2.541
2,1,2,17.2,1.99
1,2,1,19.0,1.469
1,1,4,42.96,0.728
2,1,2,5.91,3.235
2,1,1,62.81,13.113
2,1,2,27.32,3.09
1,1,2,6.89,0.566
2,2,3,27.49,5.738
1,3,3,26.73,1.11
2,1,2,11.18,2.468
1,3,1,46.02,0.857
2,1,2,22.39,2.076
3,3,1,35.04,25.473
1,2,1,4.96,1.137
2,3,1,37.14,8.323
2,1,3,12.51,2.601
1,1,1,14.02,0.692
1,1,2,29.98,0.808
1,1,1,50.26,0.977
1,2,1,19.46,1.141
1,2,1,9.35,1.288
2,2,2,24.22,8.996
1,3,5,64.17,0.302
1,1,2,25.71,1.051
2,1,3,11.64,2.592
2,1,3,0.81,2.426
1,2,1,79.59,1.868
2,1,1,13.47,3.076
1,1,3,48.59,0.672
2,2,5,11.37,1.96
1,1,3,19.04,0.511
1,3,4,32.56,0.655
3,3,2,12.35,25.836
1,3,3,45.77,0.762
1,1,5,40.34,0.577
1,2,2,47.38,1.65
1,1,1,21.38,0.574
2,3,3,18.91,3.538
1,1,2,52.03,1.114
1,2,1,6.65,1.029
2,1,4,40.92,2.619
1,2,2,36.98,1.24
1,2,1,27.71,1.895
1,1,2,51.19,1.417
2,1,2,49.71,4.433
1,1,3,59.21,0.802
2,3,2,35.74,4.298
2,1,1,49.76,6.739
1,1,2,37.29,0.947
2,1,1,25.71,3.87
3,2,2,31.18,20.518
2,2,3,26.71,5.983
2,3,1,43.22,10.653
1,1,1,29.06,0.76
1,1,2,16.44,0.564
2,1,2,39.01,2.327
1,2,1,35.14,0.995
1,3,2,47.7,1.147
1,1,4,13.82,0.542
1,2,2,45.22,1.565
2,2,1,28.39,8.118
1,3,2,11.06,0.703
2,2,2,35.55,4.648
1,1,3,49.79,0.699
1,2,1,15.14,0.818
1,1,5,3.36,0.39
1,3,1,40.2,0.737
1,1,4,30.69,0.383
1,1,1,44.56,1.052
1,2,1,3.96,0.995
2,2,1,8.52,5.129
3,1,4,11.55,7.896
2,2,2,28.4,7.721
1,2,1,26.79,1.216
1,1,1,8.72,0.562
1,2,1,20.04,1.43
1,1,2,63.88,1.014
1,3,1,18.19,1.475
1,3,5,54.27,0.838
2,2,3,60.79,13.878
1,2,1,7.78,1.321
1,2,1,33.61,2.108
2,3,1,5.3,4.177
2,1,2,35.61,2.693
2,1,2,9.91,4.942
1,1,1,21.18,0.585
2,1,1,13.01,2.517
3,1,1,21.06,15.933
1,3,3,11.59,0.711
1,1,1,9.68,0.763
1,1,1,20.85,0.775
2,2,2,44.76,7.169
1,1,2,11.92,0.603
2,1,1,38.05,3.082
1,3,1,16.78,1.068
1,1,3,33.78,0.493
1,1,1,44.86,2.153
1,2,1,32.62,0.948
2,1,4,17.57,1.851
1,1,1,17.91,0.674
1,2,1,23.7,1.021
2,1,4,34.76,2.822
1,3,1,28.05,1.087
1,1,2,45.81,0.851
1,1,5,20.82,0.601
3,2,1,6.2,31.539
1,3,1,36.42,1.074
1,1,1,12.87,0.55
2,2,1,39.97,4.899
1,2,1,29.91,1.436
1,3,1,37.52,1.208
1,1,5,26.41,0.273
1,3,1,29.61,0.854
2,1,4,3.18,1.77
1,3,2,44.14,1.642
2,1,1,20.54,3.936
1,2,1,19.33,1.06
2,1,1,18.98,4.481
1,1,1,67.65,0.758
1,1,3,30.08,0.514
1,2,4,34.16,0.871
2,1,1,41.4,3.821
2,3,3,19.21,4.01
1,1,2,28.69,0.521
2,1,1,23.21,2.725
3,1,2,34.85,14.182
3,3,3,36.15,30.75
1,2,2,58.22,2.274
1,2,1,11.07,0.858
2,3,2,49.81,6.374
1,1,1,19.12,1.096
2,1,4,25.96,4.263
1,1,3,25.17,0.886
2,1,1,33.39,3.583
1,1,5,52.71,0.525
2,1,3,46.96,2.746
2,3,2,26.32,5.309
1,2,3,12.35,0.721
1,3,1,18.68,0.522
1,2,1,47.56,1.577
2,2,3,36.22,6.46
1,2,1,48.86,2.133
1,2,2,10.02,2.082
1,1,2,23.43,0.678
2,2,1,20.68,6.918
1,3,1,13.11,0.672
3,2,1,17.61,28.43
2,2,1,66.04,8.005
2,3,2,61.99,16.858
2,1,2,6.65,2.956
1,1,4,20.03,0.496
1,2,5,42.68,0.591
1,1,1,38.26,0.749
1,2,1,60.48,2.172
1,2,1,59.69,2.734
2,1,5,56.15,3.12
1,2,1,17.69,1.381
1,1,1,8.16,0.99
1,1,1,8.98,0.698
1,1,2,36.31,0.612
1,1,1,47.74,1.217
1,3,3,48.43,1.635
2,2,2,26.3,5.584
2,1,2,8.89,3.008
1,3,1,26.34,0.761
2,1,3,17.08,1.494
1,2,4,35.28,0.806
1,2,1,29.63,1.685
1,3,3,24.73,0.76
1,2,1,12.37,0.99
2,2,2,33.86,8.746
2,1,2,30.64,2.918
2,1,2,39.97,3.445
1,1,1,21.4,0.944
1,2,2,44.6,1.525
1,3,3,54.31,1.885
1,1,3,4.5,0.461
1,3,2,10.71,0.542
1,1,1,65.84,1.521
1,3,1,46.74,1.454
1,1,1,16.31,0.63
1,1,5,29.72,0.336
2,2,1,41.53,8.201
2,3,3,38.34,4.16
2,1,2,34.01,4.101
3,2,1,13.66,25.273
2,3,1,63.61,8.746
2,1,4,33.46,2.831
2,1,3,13.88,2.183
2,2,4,1.36,4.017
1,1,2,48.48,0.634
1,1,2,54.13,0.769
1,2,3,19.18,0.963
1,1,3,15.54,0.716
1,1,2,23.59,0.511
3,3,1,35.17,31.185
2,1,1,32.88,3.397
1,1,4,3.51,0.329
1,2,1,23.36,1.171
2,2,1,33.25,5.753
2,2,3,22.82,4.268
2,3,1,73.25,9.073
1,1,1,28.13,0.685
2,1,1,26.45,5.092
3,1,2,22.64,22.356
2,1,1,45.89,4.066
2,1,1,24.41,3.211
1,1,1,36.52,0.908
3,1,2,14.53,9.099
1,3,1,31.03,1.426
1,1,3,36.11,0.372
2,1,1,31.31,4.512
1,1,2,40.45,0.706
2,1,1,41.45,3.567
2,1,2,28.54,4.228
1,3,2,24.64,1.164
2,1,1,23.49,3.291
2,1,2,17.1,2.946
2,1,1,12.53,4.755
1,2,1,17.81,1.272
1,2,4,8.95,0.845
1,1,1,27.07,0.459
2,1,1,20.3,2.847
2,1,1,6.04,3.249
1,1,2,49.76,0.807
1,1,1,25.66,0.753
2,1,5,34.08,2.235
2,1,5,9.84,1.858
1,1,2,22.27,0.841
1,1,2,32.82,0.764
1,1,4,39.71,0.501
2,1,1,57.75,7.347
1,1,5,52.02,0.619
2,3,2,29.63,5.208
1,1,2,58.88,0.714
1,2,3,42.66,1.758
1,1,1,24.7,0.545
1,3,1,13.05,1.196
1,2,3,16.37,1.15
1,3,1,30.95,0.756
1,1,3,24.72,0.558
2,2,4,19.86,3.762
1,1,1,24.36,0.607
1,1,2,8.17,0.688
1,3,2,25.24,0.876
1,1,3,17.15,0.365
2,2,2,39.28,6.069
2,2,3,11.93,4.086
2,1,3,21.98,1.641
2,1,2,4.2,2.543
1,3,1,55.63,1.692
1,2,2,13.81,1.201
1,3,4,37.21,0.499
1,2,3,14.32,1.446
1,1,2,28.3,0.595
2,1,1,21.21,3.979
2,1,1,31.55,3.388
1,3,1,40.93,0.599
1,1,5,26.51,0.515
2,1,1,52.84,5.07
2,3,4,37.49,3.302
2,1,5,23.79,1.642
1,2,1,24.04,0.919
1,2,1,35.28,2.329
2,1,4,3.5,1.906
1,1,1,48.11,0.753
1,3,3,32.48,0.67
1,1,2,44.98,0.656
2,2,4,5.48,3.641
1,2,1,1.59,1.033
1,1,1,19.66,0.832
1,2,2,21.45,0.907
1,2,3,58.92,1.315
2,1,1,14.22,3.065
3,3,1,21.55,22.439
1,3,2,15.61,1.239
1,2,2,39.23,1.245
2,1,1,3.75,3.543
2,1,2,14.61,2.482
2,3,2,15.98,5.319
1,1,1,19.24,0.632
1,1,1,41.73,0.628
3,1,1,31.41,12.485
1,3,2,44.82,1.109
1,1,3,15.04,0.32
2,1,3,61.81,5.467
2,2,3,27.72,4.133
1,3,2,1.38,0.755
3,2,2,23.48,25.491
1,3,3,6.5,0.658
1,1,1,56.93,0.664
1,3,1,40.89,0.794
1,1,1,29.42,0.944
1,1,5,24.11,0.298
1,3,4,45.1,0.967
1,1,2,3.18,0.562
1,1,1,39.46,1.109
1,2,1,16.68,1.471
3,2,2,18.96,26.48
1,1,3,15.39,0.332
2,3,3,22.72,3.022
1,2,2,33.63,2.468
1,3,1,53.91,1.172
1,3,2,62.72,1.525
3,2,1,21.0,35.784
1,2,1,50.28,1.597
1,1,4,25.6,0.296
1,2,1,44.64,1.312
2,3,4,47.71,6.83
1,1,1,24.79,0.626
1,1,1,65.01,1.831
1,2,3,38.13,0.89
2,1,1,17.93,2.861
2,1,1,50.95,6.151
3,3,2,23.9,23.531
1,1,1,23.5,0.873
1,2,3,38.37,1.544
1,1,2,46.29,0.744
2,1,1,50.71,4.771
2,1,2,43.13,3.599
2,3,2,39.44,4.684
1,1,3,63.07,1.681
1,1,1,37.35,0.711
1,2,1,32.08,1.584
1,3,5,17.77,0.518
1,2,1,47.66,1.553
1,2,1,32.05,1.385
1,1,1,11.96,0.385
1,2,3,4.57,0.753
3,1,1,58.28,28.281
3,1,1,4.84,10.624
2,2,1,39.58,7.57
2,3,1,30.23,4.534
1,3,5,67.84,1.471
1,1,2,40.66,0.532
1,3,5,23.73,0.509
1,1,3,36.11,0.759
2,1,5,17.22,1.64
1,2,1,6.82,0.816
3,2,2,25.19,24.218
2,1,2,10.58,2.493
1,2,2,14.23,1.134
2,1,1,26.16,3.533
2,3,2,58.3,8.544
1,2,3,24.54,1.059
1,3,4,30.0,0.791
1,2,3,47.09,0.971
1,3,1,38.12,0.827
2,3,1,47.3,7.623
1,1,2,27.28,0.632
2,1,4,33.15,4.776
1,1,1,22.5,0.724
3,1,1,19.59,17.752
1,1,2,20.94,0.495
2,3,1,28.7,3.732
1,2,3,20.42,0.875
2,2,3,29.84,3.205
2,1,2,63.32,5.112
1,3,1,59.26,0.681
1,1,3,38.63,0.605
3,2,1,36.46,22.478
3,3,5,22.89,11.173
2,1,2,44.78,4.295
1,3,2,53.87,1.013
1,2,1,33.47,1.393
1,2,2,67.13,2.496
2,1,4,17.48,3.724
1,2,1,50.08,1.509
1,3,1,11.26,0.616
3,1,4,15.52,8.936
2,1,1,38.0,3.852
2,1,1,5.69,3.157
3,3,1,36.24,31.943
1,2,1,23.97,0.983
1,2,1,24.51,1.226
3,1,3,7.56,12.09
3,1,5,74.23,39.775
1,2,1,7.86,0.842
1,1,1,32.81,0.655
1,2,1,11.99,1.356
1,1,3,7.32,0.466
1,2,2,45.03,0.749
1,1,1,2.37,0.467
2,3,3,14.38,4.934
1,3,2,16.47,0.631
2,1,2,28.7,3.945
1,1,1,23.74,0.718
1,1,1,23.53,0.585
2,2,1,30.38,11.12
2,2,1,22.17,5.543
2,2,4,22.91,3.544
2,2,1,27.62,4.943
2,1,2,13.56,2.227
2,2,3,25.81,4.112
2,3,1,34.36,5.961
1,1,1,28.98,0.815
2,1,1,48.99,5.067
1,1,2,32.01,0.517
3,2,1,20.3,25.086
1,3,1,19.66,0.802
1,1,5,23.17,0.48
1,1,2,41.34,0.711
1,3,1,31.82,0.873
1,2,1,6.96,1.363
1,1,5,35.11,0.225
3,2,2,57.24,28.717
1,1,1,30.9,0.732
3,2,1,22.66,31.625
2,1,3,7.79,3.149
1,2,2,19.35,0.888
1,1,2,24.04,0.573
3,1,1,18.64,19.596
2,2,3,31.76,7.493
1,3,1,21.8,0.683
1,2,1,72.5,1.895
1,1,4,57.96,0.967
2,1,1,14.48,3.661
1,1,2,29.5,0.795
1,2,1,13.74,1.943
1,1,1,36.41,0.874
1,1,2,27.51,0.713
1,3,1,31.85,1.35
2,2,3,52.15,14.363
2,1,1,17.5,3.664
2,2,4,12.32,3.449
3,1,2,32.89,19.304
2,2,1,27.89,7.548
1,3,1,18.27,0.646
1,2,1,16.73,1.169
2,2,5,44.32,5.464
2,1,1,66.02,11.016
3,1,1,39.28,18.014
1,1,3,16.88,0.469
1,1,1,11.52,0.64
2,3,1,30.65,7.288
2,2,1,22.4,4.343
1,1,3,34.86,0.429
1,1,1,61.56,1.351
2,1,5,45.75,2.894
1,2,1,42.95,1.643
2,1,1,16.8,1.685
3,2,1,15.3,39.492
1,1,1,54.3,2.02
1,2,1,5.91,1.404
3,1,3,13.99,11.617
1,1,3,30.72,0.512
1,1,2,8.94,0.602
1,2,3,25.81,1.147
2,2,2,21.91,5.391
1,1,1,55.71,1.286
2,1,1,17.53,2.313
1,1,2,2.19,0.702
1,1,4,8.37,0.343
1,2,1,39.31,2.165
1,1,2,24.1,0.9
2,1,4,31.17,1.964
1,1,1,7.87,0.594
2,2,1,22.22,8.031
1,2,2,27.75,1.154
1,1,1,21.11,0.671
1,2,2,41.19,1.26
2,2,2,31.75,10.427
2,1,4,17.58,1.431
2,2,1,27.8,7.562
1,1,3,32.9,0.42
3,1,1,40.28,13.121
2,3,3,19.75,3.169
3,2,1,8.14,30.735
1,1,5,54.5,0.478
1,2,2,23.14,0.875
2,1,5,46.63,2.17
1,1,3,17.89,0.468
2,2,2,37.2,5.667
1,1,4,2.13,0.622
1,1,2,1.3,0.786
1,1,1,28.06,0.524
1,3,2,64.14,3.84
1,1,1,16.28,0.637
3,2,1,43.43,46.389
1,1,4,15.06,0.347
1,2,2,68.15,1.319
1,2,3,18.68,1.113
1,3,4,38.95,0.506
1,3,1,25.3,1.124
1,1,2,38.61,0.75
1,3,1,17.05,1.249
1,1,2,34.18,0.883
2,1,1,2.23,2.546
2,2,2,35.37,10.263
2,2,3,13.76,4.069
1,2,2,6.14,0.877
1,1,2,62.58,0.575
1,2,1,6.33,1.107
1,1,2,27.2,0.798
2,1,1,13.31,4.045
1,2,2,12.72,1.052
1,2,2,12.78,1.385
2,1,5,21.44,1.728
1,2,1,41.08,1.425
1,3,1,38.46,0.801
3,1,2,36.36,14.097
1,1,2,58.97,0.853
2,1,1,11.41,3.219
1,1,2,41.62,1.278
3,1,4,8.03,11.292
2,1,3,14.34,3.295
1,1,1,41.79,1.659
3,1,1,44.43,21.164
1,3,1,44.47,1.837
2,1,1,15.57,3.589
2,2,1,39.65,10.471
